title,links,date,rating,quality,genre,short_description
"Em, Người Mà Tôi Đã Đánh Mất",https://ohitv.net/phim-le/em-nguoi-toi-da-danh-mat/,08/03/2024,6.8, 1080p,"['Phim Chiếu Rạp', 'Phim Lãng Mạn']","Vào mùa hè năm 2010, Bạch Hiểu Vũ gặp Vương Cân Cân lần đầu trong phòng thi đại học và từ đó “mất dấu” cô. Bốn năm sau, họ bất ngờ gặp lại nhau ..."
Kung Fu Panda 4,https://ohitv.net/phim-le/kung-fu-panda-4/,02/03/2024,6.5, 1080p,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Hài', 'Phim Hành Động', 'Phim Hoạt Hình', 'Phim Phiêu Lưu']","Trong “Kung Fu Panda 4”, Po sẽ trải qua một hành trình trưởng thành hơn, từ một Chiến Binh Rồng thành một lãnh đạo tinh thần cho ..."
Exhuma: Quật Mộ Trùng Ma,https://ohitv.net/phim-le/exhuma-quat-mo-trung-ma/,22/02/2024,0, 1080p,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Kinh Dị']","Sau khi trải qua hàng loạt sự kiện siêu nhiên kinh hoàng, một gia đình giàu có sống tại LA triệu tập hai thầy pháp trẻ tuổi đang nổi lên là ..."
Cay Nóng Hôi Hổi (Nhiệt Lạt Cổn Thang),https://ohitv.net/phim-le/cay-nong-hoi-hoi/,10/02/2024,6.9, CAM,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hài', 'Phim Hành Động']","乐莹, sau nhiều năm sống cô đơn ở nhà, không có mục tiêu cụ thể. Sau khi tốt nghiệp đại học và làm việc một thời gian, cô quyết định rời bỏ xã hội, ..."
Argylle: Siêu Điệp Viên,https://ohitv.net/phim-le/argylle-sieu-diep-vien/,31/01/2024,5.9, 1080p,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Hành Động', 'Phim Phiêu Lưu']","Argylle Siêu Điệp Viên (Argylle) là một bộ phim hành động hài hước về điệp viên được sản xuất vào năm 2024, do đạo diễn và sản xuất bởi Matthew ..."
Bà Thím Báo Thù,https://ohitv.net/phim-le/ba-thim-bao-thu/,24/01/2024,6.6,,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Hình Sự']","“Bà Thím Báo Thù” là câu chuyện về một kẻ lừa đảo, người đã quay xe và tìm đến nạn nhân của mình để cầu cứu sự trợ giúp. Duk Hee, ..."
Nàng Thơ Của Miller,https://ohitv.net/phim-le/nang-tho-cua-miller/,18/01/2024,5.3, 1080p,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Gây Cấn']","Câu chuyện trong bộ phim đen tối này xoay quanh một nhà văn trẻ, sớm phát triển tài năng, đồng thời tham gia cùng một giáo viên viết văn sáng tạo ..."
Mật Vụ Ong,https://ohitv.net/phim-le/mat-vu-ong/,10/01/2024,6.4, 1080p,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Gây Cấn', 'Phim Hành Động']","“Mật Vụ Ong” (2024) là một bộ phim có sự tham gia của Jason Statham, người vào vai Adam Clay, một người đàn ông sống cô đơn và chăm ..."
Aquaman và Vương Quốc Thất Lạc,https://ohitv.net/phim-le/aquaman-va-vuong-quoc-that-lac/,20/12/2023,5.8, HDRIP,"['Phim Chiếu Rạp', 'Phim Giả Tượng', 'Phim Hành Động', 'Phim Phiêu Lưu']",Aquaman và Vương Quốc Thất Lạc (2023) là tác phẩm điện ảnh ấn tượng được đạo diễn bởi James Wan và có sự tham gia xuất sắc của Jason Momoa trong ...
Điệp Vụ Cuối Cùng,https://ohitv.net/phim-le/diep-vu-cuoi-cung/,14/12/2023,5, 1080p,"['Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Hành Động']",Một người đang tống tiền Cục Tình báo Trung ương (CIA) bằng cách ám sát các nhà báo nước ngoài và làm cho nó trông giống như cơ quan này chịu ...
Biệt Đội Săn Rồng,https://ohitv.net/phim-le/biet-doi-san-rong/,05/12/2023,4.3, 1080p,"['Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Lãng Mạn']","“Biệt Đội Săn Rồng” là một bộ phim với cốt truyện hấp dẫn xoay quanh một nhóm bạn trẻ, sống trong một thế giới đầy hiểm nguy sau các ..."
Một Mình Vẫn Ổn’t,https://ohitv.net/phim-le/mot-minh-van-on-t/,29/11/2023,7.8, 1080p,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Lãng Mạn']","Nhà văn, người ủng hộ cuộc sống độc thân, kết hợp cùng một biên tập viên đang tuyệt vọng tìm kiếm “một nửa” của mình. Liệu họ có thể ..."
Băng Qua Biển Giận Dữ,https://ohitv.net/phim-le/bang-qua-bien-gian-du/,25/11/2023,7.1, 1080p,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Gây Cấn', 'Phim Hình Sự']","Bộ phim kể về cuộc hành trình trả thù của người cha, Lao Jin, sau khi con gái ông bị giết hại. Lao Jin là một ngư dân và khi biết được con gái ..."
Đế Chế Napoleon,https://ohitv.net/phim-le/de-che-napoleon/,22/11/2023,6.5, 1080p,"['Phim Chiến Tranh', 'Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Lịch Sử']",“Đế Chế Napoleon” là một bộ phim lấy bối cảnh trong thời kỳ của Napoleon Bonaparte và nó tập trung vào câu chuyện về cuộc đời và sự ...
Biệt Đội Marvel,https://ohitv.net/phim-le/biet-doi-marvel/,08/11/2023,5.8, 1080p,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Phiêu Lưu']","“Biệt Đội Marvel” (2023) kể về cuộc phiêu lưu của Carol Danvers, người biết đến với biệt danh Captain Marvel, khi cô bị vướng vào sức ..."
Tee Yod: Quỷ Ăn Tạng,https://ohitv.net/phim-le/tee-yod-quy-an-tang/,25/10/2023,6.6, 1080p,"['Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Kinh Dị']","Trong bối cảnh đồng quê hẻo lánh của tỉnh Kanchanaburi, một gia đình nông dân bị cuốn vào một sự kiện kinh hoàng khi một loạt các sự cố kỳ bí và ..."
Oppenheimer,https://ohitv.net/phim-le/oppenheimer/,19/07/2023,8.4,,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Lịch Sử']","“Oppenheimer” là một bộ phim ra mắt vào năm 2023, với nhân vật chính là J. Robert Oppenheimer, một nhà vật lý lý thuyết nổi tiếng, ..."
Quái Vật,https://ohitv.net/phim-le/quai-vat/,02/06/2023,8.1, 1080p,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Gây Cấn']","Khi con trai nhỏ của cô, Minato, bắt đầu thể hiện những hành vi kỳ lạ, người mẹ của anh cảm thấy rằng có điều gì đó không ổn. Cô phát hiện ra ..."
Đầu Gấu Đụng Đầu Đất,https://ohitv.net/phim-le/dau-gau-dung-dau-dat/,22/03/2023,0, 1080p,"['Phim Chiếu Rạp', 'Phim Hài', 'Phim Hành Động']",“Đầu Gấu Đụng Đầu Đất” (2023) là một bộ phim dựa trên câu chuyện thần thoại nổi tiếng tại Hàn Quốc về hai chú gấu sinh đôi hoá thành ...
Bỗng Dưng Trúng Số,https://ohitv.net/phim-le/bong-dung-trung-so/,24/08/2022,7, 1080p,"['Phim Chiếu Rạp', 'Phim Hài']","“Bỗng Dưng Trúng Số” là một bộ phim hài hước xoay quanh câu chuyện về người lính Hàn Quốc Chun Woo và anh lính Triều Tiên Yong Ho, ..."
Cuộc Gọi,https://ohitv.net/phim-le/cuoc-goi/,27/11/2020,7.1, 1080p,"['Phim Bí Ẩn', 'Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Khoa Học Viễn Tưởng']","Bộ phim “Cuộc Gọi” nói về việc kết nối qua điện thoại giữa hai thời điểm khác nhau, cùng một căn nhà, nhưng chúng cách nhau 20 năm. ..."
Kong: Đảo Đầu Lâu,https://ohitv.net/phim-le/kong-dao-dau-lau/,08/03/2017,6.7,,"['Phim Chiếu Rạp', 'Phim Giả Tượng', 'Phim Hành Động', 'Phim Phiêu Lưu']",“Kong: Skull Island” (2017) là một bộ phim phiêu lưu tái hiện lại hình ảnh của King Kong (Chúa tể loài khỉ) dưới sự chỉ đạo của đạo ...
Chuyến Tàu Sinh Tử,https://ohitv.net/phim-le/chuyen-tau-sinh-tu/,20/07/2016,7.6, 1080p,"['Phim Chiếu Rạp', 'Phim Gây Cấn', 'Phim Hành Động', 'Phim Kinh Dị', 'Phim Phiêu Lưu']",“Chuyến Tàu Sinh Tử” (tên tiếng Anh: “Train to Busan”) là một bộ phim kinh dị và hành động Hàn Quốc năm 2016. Bối cảnh ...
Kung Fu Panda 3,https://ohitv.net/phim-le/kung-fu-panda-3/,23/01/2016,7.1,,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Hài', 'Phim Hành Động', 'Phim Hoạt Hình', 'Phim Phiêu Lưu']","“Kung Fu Panda 3” (2016) tiếp tục cuộc phiêu lưu của Po, gấu trúc yêu thích võ thuật. Trong phần này, Po phải đối mặt với một thách ..."
Đại Dịch Cúm,https://ohitv.net/phim-le/dai-dich-cum/,14/08/2013,6.6, 1080p,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Phiêu Lưu']",“Đại Dịch Cúm” (2013) là một bộ phim xoay quanh một cuộc khủng hoảng dịch bệnh cúm trong bối cảnh một chuyến tàu chở người vượt biên ...
Kung Fu Gấu Trúc 2,https://ohitv.net/phim-le/kung-fu-gau-truc-2/,25/05/2011,7.3,,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Hài', 'Phim Hoạt Hình']","“Kung Fu Gấu Trúc 2” (2011) tiếp tục câu chuyện về Po, chú gấu trúc có đam mê với võ thuật. Trong phần này, Po đã trở thành Người ..."
Kung Fu Gấu Trúc,https://ohitv.net/phim-le/kung-fu-gau-truc/,04/06/2008,7.6,,"['Phim Chiếu Rạp', 'Phim Gia Đình', 'Phim Hài', 'Phim Hành Động', 'Phim Hoạt Hình', 'Phim Phiêu Lưu']",“Kung Fu Gấu Trúc” (2008) là một bộ phim hoạt hình mang đậm yếu tố hài hước và hành động. Câu chuyện xoay quanh một chú gấu trúc tên ...
Thế Giới Võ Hiệp Kim Dung,https://ohitv.net/phim-bo/the-gioi-vo-hiep-kim-dung/,17/06/2024,0,,['Action & Adventure'],Sự hội tụ của những chiến binh vĩ đại mang đến một thế giới võ thuật vui tươi. Một truyền thống mới khởi động lại võ thuật.
Doctor Who,https://ohitv.net/phim-bo/doctor-who/,11/05/2024,6.2,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']","“Doctor Who” là một loạt phim phiêu lưu khoa học viễn tưởng hấp dẫn, theo chân Bác Sĩ – một vị chúa thời gian bí ẩn – và ..."
Dù Tôi Không Phải Người Hùng,https://ohitv.net/phim-bo/du-toi-khong-phai-nguoi-hung/,04/05/2024,0,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']","Một câu chuyện về gia đình đặc biệt với những siêu năng lực trong thế kỷ 21. Điểm khởi đầu của câu chuyện là Bok Gwi Joo, anh chàng sở hữu siêu ..."
Chiến Binh,https://ohitv.net/phim-bo/chien-binh-knuckles/,26/04/2024,8.257,,"['Action & Adventure', 'Phim Gia Đình', 'Phim Hài']",Knuckles bắt đầu một hành trình hài hước và đầy hành động để tự khám phá bản thân khi anh đồng ý huấn luyện Wade như là môn đồ của mình và dạy ...
Phong Hỏa Lệnh (Phong Hỏa Lưu Kim),https://ohitv.net/phim-bo/phong-hoa-luu-kim/, ,0,,['Action & Adventure'],"Vào thời điểm đó, thế giới tan rã và Vương quốc Beixuan có được một khoảng thời gian hòa bình ngắn ngủi sau một cuộc chiến. Chang Geng, một chàng ..."
Sụp Đổ,https://ohitv.net/phim-bo/sup-do/,10/04/2024,8.434,,"['Action & Adventure', 'Phim Bí Ẩn', 'Sci-Fi & Fantasy']","Sụp Đổ Fallout 2024 là một bộ phim truyền hình hậu tận thế của Mỹ do Amazon Studios, Kilter Films và Amazon MGM Studios sản xuất, được phát hành ..."
Quốc Sắc Phương Hoa,https://ohitv.net/phim-bo/quoc-sac-phuong-hoa/, ,0,,"['Action & Adventure', 'Phim Chính Kịch']","Đặt trong thời kỳ Đường, câu chuyện kể về huyền thoại và nguồn cảm hứng của một người phụ nữ trồng hoa mành và cuối cùng đã giúp đỡ nhân dân thế ..."
Đại Mộng Quy Ly,https://ohitv.net/phim-bo/dai-mong-quy-ly/, ,0,,"['Action & Adventure', 'Phim Chính Kịch']","Câu chuyện xoay quanh một con quỷ mạnh mẽ, mệt mỏi với sự tồn tại, từ chối nhường bước cho sự diệt vong, thay vào đó lựa chọn bắt đầu một hành ..."
Ngũ Hành Thế Gia,https://ohitv.net/phim-bo/ngu-hanh-the-gia/,23/03/2024,0,,['Action & Adventure'],"Trong những năm đầu của Cộng hòa Trung Hoa, khi kiến thức phương Tây lan rộng ra phương Đông, nhiều viện nghiên cứu khoa học tự nhiên đã nổi lên. ..."
Queen Woo,https://ohitv.net/phim-bo/queen-woo/, ,0,,"['Action & Adventure', 'Phim Chính Kịch']","Ngay khi cái chết của vua Gogukcheon được thông báo, một trận chiến gay gắt giữa các bộ tộc sẽ bắt đầu. Phải có một vị vua mới trên ngai vàng ..."
Hồ Yêu Tiểu Hồng Nương Nguyệt Hồng Thiên,https://ohitv.net/phim-bo/ho-yeu-tieu-hong-nuong-nguyet-hong-thien/, ,0,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']",“Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên” là một bộ phim cổ tích cổ điển có sự tham gia của diễn viên Dương Mịch. Bộ phim kể về câu ...
Tứ Trụ Vương: Người Thay Đổi Định Mệnh,https://ohitv.net/phim-bo/tu-tru-vuong-nguoi-thay-doi-dinh-menh/,15/03/2024,0,,"['Action & Adventure', 'Phim Bí Ẩn']","Geum Tae Young nghiên cứu về Saju (đoán số mệnh dựa trên ngày tháng) để viết tiểu thuyết của mình, nhưng tiểu thuyết của anh không thành công. ..."
Tử Xuyên: Quang Minh Tam Kiệt,https://ohitv.net/phim-bo/tu-xuyen-quang-minh-tam-kiet/,27/02/2024,0,,"['Action & Adventure', 'War & Politics']",“Tử Tuyền – Quang Minh Tam Kiệt” là một bộ phim cổ trang được chuyển thể từ tiểu thuyết cùng tên của tác giả Lão Trâu. Phim ...
Thế Thần: Ngự khí sư cuối cùng,https://ohitv.net/phim-bo/the-than-ngu-khi-su-cuoi-cung/,22/02/2024,9.7,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']","“Avatar: The Last Airbender” (2024), còn được biết đến với tên gọi “Avatar: The Legend of Aang”, là một bộ phim ..."
Liệp Băng,https://ohitv.net/phim-bo/liep-bang/,21/02/2024,0,,"['Action & Adventure', 'Phim Bí Ẩn', 'Phim Hình Sự']",Cuộc đối đầu giữa đội công an và băng nhóm buôn ma túy đã đưa thành phố Tam Bình vào tình trạng căng thẳng và đầy kịch tính. Dưới sự lãnh đạo của ...
Đại Lý Tự Thiếu Khanh Du,https://ohitv.net/phim-bo/dai-ly-tu-thieu-khanh-du/,20/02/2024,0,,"['Action & Adventure', 'Phim Chính Kịch']","“Đại Lý Tự Thiếu Khanh Du” (2024) là một bộ phim cổ trang trinh thám do đạo diễn Vương Uy chỉ đạo, với sự tham gia của Đinh Vũ Hề, ..."
Nhà của ninja,https://ohitv.net/phim-bo/nha-cua-ninja/,15/02/2024,8.2,,"['Action & Adventure', 'Phim Chính Kịch']","“Nhà của ninja” (2024) là câu chuyện về một gia đình ninja, sau nhiều năm rời bỏ cuộc sống ninja, họ phải quay lại với những nhiệm vụ ..."
Cửa Hàng Sát Thủ,https://ohitv.net/phim-bo/cua-hang-sat-thu/,17/01/2024,9.5,,"['Action & Adventure', 'Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Hình Sự']",“Cửa Hàng Sát Thủ” (2024) là một bộ phim nói về cuộc hành trình của Jung Ji-An (Kim Hye Jun) sau khi biết được bí mật đen tối liên ...
Vương Giả Vinh Diệu – Vinh Diệu Chi Chương: Thành Toái Nguyệt,https://ohitv.net/phim-bo/vuong-gia-vinh-dieu-vinh-dieu-chi-chuong-thanh-toai-nguyet/,13/01/2024,10,,"['Action & Adventure', 'Phim Hoạt Hình']","“Vương Giả Vinh Diệu – Vinh Diệu Chi Chương: Thành Toái Nguyệt” là một câu chuyện đặc sắc diễn ra trên đại lục Vương Giả, nơi mà ..."
Echo,https://ohitv.net/phim-bo/echo/,09/01/2024,6.5,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']","Nội dung phim này có thể xoay quanh câu chuyện về Maya Lopez, một phụ nữ trẻ từng là một phần của thế giới tội phạm do Wilson Fisk thống trị. ..."
Thăng Cấp Một Mình,https://ohitv.net/phim-bo/thang-cap-mot-minh/,07/01/2024,8.714,,"['Action & Adventure', 'Phim Hoạt Hình', 'Sci-Fi & Fantasy']","“Thăng Cấp Một Mình” (2024) kể về Jinwoo Sung, một thợ săn hạng E, được xem là yếu đuối nhất trong giới thợ săn. Anh ta thường bị coi ..."
Anh em nhà họ Tôn,https://ohitv.net/phim-bo/anh-em-nha-ho-ton/,04/01/2024,8,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']",“Anh Em Nhà Họ Tôn” là một bộ phim dự kiến ra mắt vào năm 2024. Câu chuyện xoay quanh một thành viên trong hội Tam Hoàng Đài Bắc (Tam ...
Berlin,https://ohitv.net/phim-bo/berlin/,29/12/2023,7.823,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']","“Berlin – Berlin” (2023) là một bộ phim kể về Berlin, một tên tội phạm và lãnh đạo của một băng nhóm tội phạm, cùng với các thành ..."
Sinh Vật Gyeongseong,https://ohitv.net/phim-bo/sinh-vat-gyeongseong/,22/12/2023,8.193,,"['Action & Adventure', 'Phim Bí Ẩn', 'Sci-Fi & Fantasy']","Năm 1945 tại Gyeongseong, vào thời điểm Seoul đang chịu sự thống trị của thực dân, một doanh nhân và một đặc vụ chiến đấu để tồn tại trong một ..."
Percy Jackson và Các Vị Thần Trên Đỉnh Olympus,https://ohitv.net/phim-bo/percy-jackson-va-cac-vi-than-tren-dinh-olympus/,19/12/2023,7.623,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Gia Đình', 'Sci-Fi & Fantasy']","Percy Jackson đang tham gia vào một nhiệm vụ nguy hiểm. Anh phải chạy trốn khỏi những con quái vật và thông minh hơn cả các vị thần, và phải đi ..."
Trò Chơi Sống Còn,https://ohitv.net/phim-bo/tro-choi-song-con/,14/12/2023,7,,"['Action & Adventure', 'Phim Hoạt Hình', 'Sci-Fi & Fantasy']",“Trò Chơi Sống Còn” là một bộ phim truyền hình năm 2023 với câu chuyện xoay quanh cuộc chiến sinh tồn đầy căng thẳng và gay cấn. Nhân ...
Đấu Phá Thương Khung: Thiếu Niên Trở Về,https://ohitv.net/phim-bo/dau-pha-thuong-khung-thieu-nien-tro-ve/,08/12/2023,7.6,,"['Action & Adventure', 'Phim Chính Kịch']","“Đấu Phá Thương Khung: Thiếu Niên Trở Về” (2023) diễn ra tại đại lục Đấu Khí, nơi thiếu niên Tiêu Viêm không sợ trước sự phân biệt và ..."
Cáo Tinh Ranh,https://ohitv.net/phim-bo/cao-tinh-ranh/,29/11/2023,8.382,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']","Trong thập kỷ 1850 tại Australia, trong thị trấn năng động của Port Victory, Jack Dawkins, còn được biết đến với cái tên The Artful Dodger, đã ..."
Monarch: Thế Giới Quái Thú,https://ohitv.net/phim-bo/monarch-the-gioi-quai-thu/,16/11/2023,8.145,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']",“Monarch: Thế Giới Quái Thú” (tựa gốc: “Monarch: Legacy of Monsters”) là một bộ phim phiêu lưu và giả tưởng nói về cuộc ...
Cảnh Giác,https://ohitv.net/phim-bo/canh-giac/,08/11/2023,8.1,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']","“Cảnh Giác” là một bộ phim kịch tính với câu chuyện xoay quanh Kim Ji Yong, người đã trải qua một bi kịch khi mẹ anh bị giết trên ..."
Hổ Hạc Yêu Sư Lục,https://ohitv.net/phim-bo/ho-hac-yeu-su-luc/,02/10/2023,5,,['Action & Adventure'],"“Hổ Hạc Yêu Sư Lục” (2023) là một bộ phim do đạo diễn Quách Hổ chỉ đạo và có sự tham gia của các diễn viên Tương Long, Trương Lăng ..."
Tội Ác Kinh Hoàng,https://ohitv.net/phim-bo/toi-ac-kinh-hoang-the-worst-of-evil/,27/09/2023,7.8,,"['Action & Adventure', 'Phim Chính Kịch', 'Phim Hình Sự']","“Tội Ác Kinh Hoàng – The Worst of Evil” là một bộ phim truyền hình lấy bối cảnh vào những năm 1980, theo chân các điều tra viên chìm ..."
Bài Ca Của Lưỡi Kiếm,https://ohitv.net/phim-bo/bai-ca-cua-luoi-kiem/,22/09/2023,7.2,,"['Action & Adventure', 'Phim Chính Kịch']","“Bài Ca Của Lưỡi Kiếm” là một câu chuyện về vùng đất vô pháp Gando, nơi mà những tên cướp và lính chiến đấu dũng mãnh cho sự tự do và ..."
Trường Tương Tư,https://ohitv.net/phim-bo/truong-tuong-tu/,24/07/2023,7.8,,"['Action & Adventure', 'Phim Chính Kịch', 'Sci-Fi & Fantasy']","“Trường Tương Tư” là một bộ phim nói về cuộc đời của Tiểu Yêu, một người phụ nữ sống trong thời đại nhiều biến động và gắn liền với ..."
Khói Lửa Nhân Gian Của Tôi,https://ohitv.net/phim-bo/khoi-lua-nhan-gian-cua-toi/,05/07/2023,7.5,,"['Action & Adventure', 'Phim Chính Kịch']",“Khói Lửa Nhân Gian Của Tôi” là câu chuyện về đội trưởng đội cứu hỏa Tống Diễm và bác sĩ khoa cấp cứu Hứa Thấm. Dù đã từng đẹp đôi ...
